,customer_id,trip_type,home_lat,home_lon,office_lat,office_lon
0,1,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811
180,2,home_to_office,12.83178595550021,77.5484229506337,13.014857757165025,77.59206723372974
360,3,home_to_office,12.983130714173772,77.701488456259,12.840101756379346,77.6117058241051
540,4,home_to_office,12.937659091059949,77.67013219147374,12.93536738378862,77.63362433178413
720,5,home_to_office,12.856614496814775,77.68954072509304,12.969395331634985,77.62423169915945
900,6,home_to_office,12.909511515522226,77.57830721988795,12.857466291091892,77.74511092959004
1080,7,home_to_office,13.004987467987553,77.61448790506323,12.883457003298705,77.61721361683799
1260,8,home_to_office,12.885679449451207,77.67138046470885,12.980882835160543,77.71774784977933
1440,9,home_to_office,12.810956858747463,77.7403879624158,12.949010785834018,77.71947425068086
1620,10,home_to_office,12.876951331137457,77.63164666218681,12.811474535708355,77.66339600378694
1800,11,home_to_office,12.945138832804068,77.57960248875862,12.868449606393927,77.72147239632825
1980,12,home_to_office,12.928999841831157,77.59275545595878,12.810754231232007,77.67567780897116
2160,13,home_to_office,12.948310935606369,77.60495426422358,12.810408529541196,77.56646942662522
2340,14,home_to_office,12.97951984745688,77.61969229204132,12.96933175332622,77.6030238229459
2520,15,home_to_office,12.856092660798131,77.72070374412161,12.812517149258264,77.60202990188425
2700,16,home_to_office,12.991781291785399,77.66444726702645,12.84083718600292,77.61155147099599
2880,17,home_to_office,13.013605590183252,77.58649256501141,12.828550718989653,77.62700352818646
3060,18,home_to_office,12.797020538149303,77.60608390662262,12.801222537917862,77.71298582962412
3240,19,home_to_office,12.83481726718109,77.72600637196832,12.920161571221,77.57519064764038
3420,20,home_to_office,13.007695056847822,77.71205456962045,12.837364926613954,77.71935865905012
3600,21,home_to_office,12.86417661376319,77.61347506651352,12.80339430501619,77.60926785639148
3780,22,home_to_office,12.796535926093032,77.65704338916954,12.855217676615574,77.61803680114775
3960,23,home_to_office,12.896244535006122,77.64269397372125,13.010594165765806,77.7359381051546
4140,24,home_to_office,12.943897615168593,77.72336605167575,12.854380757865792,77.70887668825598
4320,25,home_to_office,12.819784563118999,77.61900558862683,12.921627642875015,77.58007912929946
4500,26,home_to_office,12.923361412143693,77.55860793986496,12.954859020614194,77.54356168770114
4680,27,home_to_office,12.885575980105038,77.68662689298932,12.901853649714626,77.66837130752123
4860,28,home_to_office,12.876346944214689,77.64651043447246,12.899495858763434,77.72348114435533
5040,29,home_to_office,12.860893977255811,77.62700427037947,12.890666887712799,77.61426842442224
5220,30,home_to_office,12.992250905614286,77.6460350310704,12.99433050856548,77.63507621645651
5400,31,home_to_office,12.906199465374614,77.59564747410012,12.865704655685798,77.56771909205412
5580,32,home_to_office,12.920170559316418,77.72543654930374,12.982653187814348,77.5697177431985
5760,33,home_to_office,12.905943905360589,77.58488875205241,12.795572646361983,77.69316340883057
5940,34,home_to_office,13.003043257976811,77.72134940788979,12.829252551494545,77.61603718328519
6120,35,home_to_office,12.927305658730248,77.7136599488028,12.83843469957927,77.63080341260199
6300,36,home_to_office,12.978372273470528,77.67665818092145,12.964435421047556,77.57878216809453
6480,37,home_to_office,12.8445515706721,77.67049593731211,12.943868002053573,77.6593704068935
6660,38,home_to_office,12.893130175025954,77.64521299289896,12.851264787927075,77.63252062400755
6840,39,home_to_office,12.97857566647621,77.74943470419159,12.873558049209485,77.55065650577869
7020,40,home_to_office,12.867801763588595,77.54439735346912,12.993474344081484,77.6270592569149
7200,41,home_to_office,12.97963619888026,77.64433950225542,12.99165728079292,77.6432542697551
7380,42,home_to_office,12.901192817164455,77.74859991769574,12.971154752644647,77.56323952248178
7560,43,home_to_office,12.88175909009839,77.68275790798931,12.859525123960903,77.54683181569959
7740,44,home_to_office,13.001969288685505,77.56793353760192,12.867145247395651,77.55687550124476
7920,45,home_to_office,12.890078514478963,77.62524305974596,12.878361601489942,77.64233638138896
8100,46,home_to_office,12.806481055007804,77.63428442490975,12.879802192657719,77.71288980204764
8280,47,home_to_office,12.96881662185902,77.64777541296995,12.93832484413038,77.6928383507999
8460,48,home_to_office,12.878358399329892,77.61267474247636,12.813843140743318,77.64551822209997
8640,49,home_to_office,12.959505670447152,77.6334577684852,12.832831181404373,77.73933816985397
8820,50,home_to_office,12.834190118548298,77.59013365139265,12.809207723224617,77.7409802026447
9000,51,home_to_office,13.016684942978406,77.67738033023193,12.869580687989577,77.7310083745064
9180,52,home_to_office,12.824118816579347,77.68731351321699,12.835251492162833,77.73302153983892
9360,53,home_to_office,12.95390100638772,77.60092270924817,12.913092386413949,77.5669787896082
9540,54,home_to_office,12.851209310799172,77.7267654121021,12.996073359419842,77.69497159183616
9720,55,home_to_office,12.887790883162573,77.68124552829171,12.79989298517049,77.69159992871128
9900,56,home_to_office,12.807857084991351,77.61075959225599,12.949644921429002,77.65704001144508
10080,57,home_to_office,12.868023120086272,77.60899072557602,12.820461912104326,77.56013887152282
10260,58,home_to_office,12.88787720340926,77.6481753129776,12.946015554545843,77.61414206829816
10440,59,home_to_office,12.79707561535508,77.67501987536535,12.895079010392541,77.66117672258595
10620,60,home_to_office,12.841569998247012,77.74835229449324,12.996976519128406,77.64686044011809
10800,61,home_to_office,12.846883030077004,77.7019949803765,12.997006627612846,77.66468443611764
10980,62,home_to_office,12.817626505325306,77.73692548940392,12.910002795093302,77.6554937424969
11160,63,home_to_office,12.933479530952452,77.65368432126186,12.98261603694261,77.59240467282052
11340,64,home_to_office,12.917966339450961,77.62464060740474,12.89419573546591,77.5530141598078
11520,65,home_to_office,12.930733564509246,77.65786818061005,12.800798375273306,77.64023511271597
11700,66,home_to_office,12.791060294307458,77.64392734758144,12.858747150691714,77.67127057943569
11880,67,home_to_office,12.99800230157783,77.70976110115951,12.798628999530901,77.6669716850057
12060,68,home_to_office,12.869824673892232,77.69680432696008,12.918359290770224,77.72081799871539
12240,69,home_to_office,12.852466724135605,77.71209820865992,12.852652902280992,77.74466157818807
12420,70,home_to_office,12.963743542775033,77.6439653903305,12.922517351637097,77.69031641490714
12600,71,home_to_office,12.93325117746302,77.74596556251625,12.996515064104353,77.64097437420843
12780,72,home_to_office,12.978776965368683,77.65602814867303,12.959953412878079,77.55226460338125
12960,73,home_to_office,12.852341491164083,77.59361096697666,12.961602162721434,77.74359451787377
13140,74,home_to_office,12.812256287810595,77.69031825095881,12.952456244732053,77.55648918478485
13320,75,home_to_office,12.937257925964975,77.72619706206184,12.931042834497083,77.54183752519239
13500,76,home_to_office,12.959180439468321,77.65862069269365,13.012963248475721,77.72909565524782
13680,77,home_to_office,12.817826591637807,77.54770837624778,12.925221255769523,77.59700177261449
13860,78,home_to_office,12.828814116963922,77.66174824425747,12.966926231344322,77.7084207549066
14040,79,home_to_office,12.95828695162872,77.62418189603525,12.845996283419144,77.68742820787793
14220,80,home_to_office,12.97093291665224,77.59602890766871,12.838355634833798,77.68197881757554
14400,81,home_to_office,12.888690885405962,77.58327113723642,12.986295760262234,77.6885344525077
14580,82,home_to_office,12.964580284265022,77.59572081271511,12.831011157281715,77.66849249423285
14760,83,home_to_office,12.893867294912145,77.56055019807062,12.84829789710509,77.7028869590535
14940,84,home_to_office,12.954090223664366,77.56760497342007,12.958080434949949,77.71036665258939
15120,85,home_to_office,12.914043825789511,77.68389827064445,12.853961548935839,77.69374727342718
15300,86,home_to_office,12.96923642256729,77.58285633622076,12.969082860885694,77.64603949803022
15480,87,home_to_office,13.009116671870872,77.62692047266235,12.890777147429459,77.57583611331876
15660,88,home_to_office,12.885615676325042,77.57803437724633,12.898982050389776,77.54753205267248
15840,89,home_to_office,12.899539177254868,77.69067123011422,12.959662621346796,77.58397740144756
16020,90,home_to_office,12.812890923618635,77.69998921619596,12.831891680148969,77.6714043268716
16200,91,home_to_office,12.995692388167706,77.73621800080754,12.902539204622204,77.59850844472379
16380,92,home_to_office,12.905585290623492,77.59804153765072,12.893793781236024,77.71457412631528
16560,93,home_to_office,12.81101213850513,77.6474453816994,13.01744489612836,77.55084923251525
16740,94,home_to_office,12.920862920591187,77.6645994542843,12.85152813602087,77.69554530117787
16920,95,home_to_office,12.910618891854813,77.5785528023323,12.931367088572488,77.68074892839579
17100,96,home_to_office,12.930530289130877,77.73873290765543,12.904229838640498,77.69618034846559
17280,97,home_to_office,12.932760876344116,77.73694716002075,12.98180294394828,77.72758450320744
17460,98,home_to_office,12.811783594975203,77.61566056622387,12.884604504805882,77.72078562419193
17640,99,home_to_office,13.004288058159904,77.67765085649614,12.843649683869396,77.57301490036812
17820,100,home_to_office,12.814787332529528,77.70708236929141,12.950105291716913,77.69615462415334
