Unnamed: 0.1,Unnamed: 0,customer_id,date,departure_time,trip_type,home_lat,home_lon,office_lat,office_lon,day_of_week,distance_km,arrival_time
0,0,1,2025-04-11,07:06,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,09:01
1,1,1,2025-04-11,17:03,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,18:54
2,2,1,2025-04-12,09:12,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,10:54
3,3,1,2025-04-12,17:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,19:04
4,4,1,2025-04-13,09:32,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,11:04
5,5,1,2025-04-13,19:16,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,20:52
6,6,1,2025-04-14,06:16,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,07:18
7,7,1,2025-04-14,19:11,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,21:12
8,8,1,2025-04-15,06:43,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,07:47
9,9,1,2025-04-15,21:24,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,22:29
10,10,1,2025-04-16,09:05,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,11:05
11,11,1,2025-04-16,20:46,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,22:48
12,12,1,2025-04-17,06:35,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,07:39
13,13,1,2025-04-17,17:27,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,19:23
14,14,1,2025-04-18,08:01,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,09:57
15,15,1,2025-04-18,20:50,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,22:48
16,16,1,2025-04-19,08:00,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,09:41
17,17,1,2025-04-19,20:43,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,22:21
18,18,1,2025-04-20,09:43,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,11:18
19,19,1,2025-04-20,21:29,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,22:31
20,20,1,2025-04-21,07:41,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,09:41
21,21,1,2025-04-21,19:08,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,21:05
22,22,1,2025-04-22,09:36,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,11:28
23,23,1,2025-04-22,18:36,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,20:27
24,24,1,2025-04-23,09:24,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,11:15
25,25,1,2025-04-23,21:37,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,22:44
26,26,1,2025-04-24,08:23,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,10:16
27,27,1,2025-04-24,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,17:53
28,28,1,2025-04-25,09:25,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,11:18
29,29,1,2025-04-25,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,17:53
30,30,1,2025-04-26,09:22,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,10:55
31,31,1,2025-04-26,19:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,21:07
32,32,1,2025-04-27,08:52,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,10:31
33,33,1,2025-04-27,16:09,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,17:13
34,34,1,2025-04-28,06:23,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,07:28
35,35,1,2025-04-28,17:57,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,19:56
36,36,1,2025-04-29,08:15,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,10:14
37,37,1,2025-04-29,21:59,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,23:06
38,38,1,2025-04-30,06:42,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,07:47
39,39,1,2025-04-30,16:18,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,17:20
40,40,1,2025-05-01,08:05,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,09:58
41,41,1,2025-05-01,16:05,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,17:07
42,42,1,2025-05-02,09:31,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,11:25
43,43,1,2025-05-02,16:23,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,17:27
44,44,1,2025-05-03,09:08,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,10:40
45,45,1,2025-05-03,20:41,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,22:21
46,46,1,2025-05-04,07:27,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,09:04
47,47,1,2025-05-04,20:47,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,22:23
48,48,1,2025-05-05,08:48,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,10:43
49,49,1,2025-05-05,20:00,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,21:51
50,50,1,2025-05-06,06:51,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,07:57
51,51,1,2025-05-06,21:38,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,22:41
52,52,1,2025-05-07,09:16,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,11:14
53,53,1,2025-05-07,21:38,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,22:41
54,54,1,2025-05-08,09:31,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,11:31
55,55,1,2025-05-08,17:38,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,19:30
56,56,1,2025-05-09,07:41,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,09:36
57,57,1,2025-05-09,17:42,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,19:43
58,58,1,2025-05-10,07:02,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,08:39
59,59,1,2025-05-10,16:36,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,17:39
60,60,1,2025-05-11,08:31,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,10:10
61,61,1,2025-05-11,21:06,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,22:11
62,62,1,2025-05-12,08:34,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,10:28
63,63,1,2025-05-12,17:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,19:44
64,64,1,2025-05-13,09:01,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,10:53
65,65,1,2025-05-13,18:24,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,20:20
66,66,1,2025-05-14,07:21,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,09:21
67,67,1,2025-05-14,16:38,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,17:44
68,68,1,2025-05-15,08:02,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,10:03
69,69,1,2025-05-15,18:04,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,20:01
70,70,1,2025-05-16,09:33,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,11:33
71,71,1,2025-05-16,16:35,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867,17:37
72,72,1,2025-05-17,06:19,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867,07:21
73,73,1,2025-05-17,18:15,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867,19:54
74,74,1,2025-05-18,06:01,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867,07:06
75,75,1,2025-05-18,19:11,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867,20:52
76,76,1,2025-05-19,07:39,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867,09:36
77,77,1,2025-05-19,16:17,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867,17:23
78,78,1,2025-05-20,08:18,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867,10:16
79,79,1,2025-05-20,20:25,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867,22:25
80,80,1,2025-05-21,06:40,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867,07:47
81,81,1,2025-05-21,20:16,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867,22:09
82,82,1,2025-05-22,09:30,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867,11:26
83,83,1,2025-05-22,17:37,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867,19:28
84,84,1,2025-05-23,09:23,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867,11:25
