,Unnamed: 0,customer_id,date,departure_time,trip_type,home_lat,home_lon,office_lat,office_lon,day_of_week,distance_km
0,0,1,2025-04-11,07:06,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867
1,1,1,2025-04-11,17:03,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867
2,2,1,2025-04-12,09:12,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867
3,3,1,2025-04-12,17:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867
4,4,1,2025-04-13,09:32,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867
5,5,1,2025-04-13,19:16,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867
6,6,1,2025-04-14,06:16,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867
7,7,1,2025-04-14,19:11,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867
8,8,1,2025-04-15,06:43,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867
9,9,1,2025-04-15,21:24,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867
10,10,1,2025-04-16,09:05,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867
11,11,1,2025-04-16,20:46,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867
12,12,1,2025-04-17,06:35,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867
13,13,1,2025-04-17,17:27,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867
14,14,1,2025-04-18,08:01,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867
15,15,1,2025-04-18,20:50,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867
16,16,1,2025-04-19,08:00,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867
17,17,1,2025-04-19,20:43,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867
18,18,1,2025-04-20,09:43,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867
19,19,1,2025-04-20,21:29,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867
20,20,1,2025-04-21,07:41,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867
21,21,1,2025-04-21,19:08,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867
22,22,1,2025-04-22,09:36,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867
23,23,1,2025-04-22,18:36,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867
24,24,1,2025-04-23,09:24,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867
25,25,1,2025-04-23,21:37,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867
26,26,1,2025-04-24,08:23,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867
27,27,1,2025-04-24,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867
28,28,1,2025-04-25,09:25,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867
29,29,1,2025-04-25,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867
30,30,1,2025-04-26,09:22,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867
31,31,1,2025-04-26,19:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867
32,32,1,2025-04-27,08:52,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,6,12.9867
33,33,1,2025-04-27,16:09,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,6,12.9867
34,34,1,2025-04-28,06:23,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,0,12.9867
35,35,1,2025-04-28,17:57,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,0,12.9867
36,36,1,2025-04-29,08:15,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,1,12.9867
37,37,1,2025-04-29,21:59,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,1,12.9867
38,38,1,2025-04-30,06:42,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,2,12.9867
39,39,1,2025-04-30,16:18,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,2,12.9867
40,40,1,2025-05-01,08:05,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,3,12.9867
41,41,1,2025-05-01,16:05,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,3,12.9867
42,42,1,2025-05-02,09:31,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,4,12.9867
43,43,1,2025-05-02,16:23,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,4,12.9867
44,44,1,2025-05-03,09:08,home_to_office,12.891368194423316,77.70529858888877,12.947753352320778,77.64837752652811,5,12.9867
45,45,1,2025-05-03,20:41,office_to_home,12.947753352320778,77.64837752652811,12.891368194423316,77.70529858888877,5,12.9867
