,customer_id,date,departure_time,trip_type,home_lat,home_lon,office_lat,office_lon,day_of_week
0,1,2025-04-11,07:06,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,4
1,1,2025-04-11,17:03,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,4
2,1,2025-04-12,09:12,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,5
3,1,2025-04-12,17:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,5
4,1,2025-04-13,09:32,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,6
5,1,2025-04-13,19:16,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,6
6,1,2025-04-14,06:16,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,0
7,1,2025-04-14,19:11,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,0
8,1,2025-04-15,06:43,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,1
9,1,2025-04-15,21:24,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,1
10,1,2025-04-16,09:05,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,2
11,1,2025-04-16,20:46,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,2
12,1,2025-04-17,06:35,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,3
13,1,2025-04-17,17:27,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,3
14,1,2025-04-18,08:01,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,4
15,1,2025-04-18,20:50,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,4
16,1,2025-04-19,08:00,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,5
17,1,2025-04-19,20:43,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,5
18,1,2025-04-20,09:43,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,6
19,1,2025-04-20,21:29,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,6
20,1,2025-04-21,07:41,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,0
21,1,2025-04-21,19:08,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,0
22,1,2025-04-22,09:36,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,1
23,1,2025-04-22,18:36,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,1
24,1,2025-04-23,09:24,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,2
25,1,2025-04-23,21:37,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,2
26,1,2025-04-24,08:23,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,3
27,1,2025-04-24,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,3
28,1,2025-04-25,09:25,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,4
29,1,2025-04-25,16:51,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,4
30,1,2025-04-26,09:22,home_to_office,12.891368194423315,77.70529858888877,12.947753352320778,77.64837752652811,5
31,1,2025-04-26,19:31,office_to_home,12.947753352320778,77.64837752652811,12.891368194423315,77.70529858888877,5
